name,calories,protein,carbs,fat,fiber
Chocolate souffle,189.32,7.88,14.74,11.36,0.0
Pineapple souffle ,196.14,8.06,15.52,11.72,0.0
Apple mousse,106.92,4.21,12.77,4.27,1.6
Rich chocolate mousse,188.26,7.96,10.84,12.19,0.0
Mango mousse,124.98,3.21,9.14,8.47,0.88
Orange and pineapple cream,101.18,1.44,11.96,5.43,1.03
Charlotte rousse,188.29,3.95,34.08,4.78,1.01
Triffle pudding,116.97,2.93,18.24,3.93,0.12
Snow flakes pudding,95.21,4.67,8.07,4.97,0.03
Kulfi,98.43,3.21,11.3,4.7,0.12
Steamed orange pudding,278.03,2.34,41.53,12.04,0.58
Meringue and rice pudding,112.93,4.84,14.6,4.05,0.17
Cheese pudding,285.01,11.29,19.27,18.37,0.05
Chocolate pudding,211.96,3.55,29.59,9.48,0.53
Bread and butter pudding ,167.94,5.59,19.63,7.88,0.98
Queen of pudding,132.92,5.51,16.35,5.38,0.27
Pineapple upside down pudding,257.73,3.15,35.73,11.91,0.8
Date and nut pie,322.42,3.93,46.86,13.31,4.13
Stewed apple with custard,92.87,1.27,18.36,1.82,1.01
Apple snowballs,101.51,0.86,24.58,0.31,1.25
Hot orange souffle,179.97,6.87,18.77,8.95,0.29
Hot chocolate souffle,226.09,6.7,26.21,11.1,0.12
Hot vanilla souffle,192.93,6.87,21.77,9.07,0.13
Plain burfi (Burfi),408.32,9.82,30.88,27.96,0.17
Coconut burfi (Nariyal ki burfi),467.64,8.81,32.15,34.63,3.5
Bottle gourd burfi (Ghiya/Lauki burfi),275.96,5.86,24.51,17.68,0.73
Chocolate burfi,339.33,13.0,33.15,17.86,0.0
Cashewnut burfi (Kaju burfi/Kaju katli),421.74,5.48,37.92,28.46,1.12
Gram flour burfi (Besan burfi),421.79,11.19,46.59,22.41,3.41
Semolina ladoo with khoya (Suji/Rava aur khoye ke ladoo ),428.71,6.71,52.86,21.86,4.68
Semolina ladoo with coconut (Suji/Rava aur nariyal ke ladoo ),464.43,5.68,50.9,27.03,6.69
Gram flour ladoo (Besan ladoo),476.91,8.93,62.61,22.76,4.43
